seed_offset,method,round,narrow_sr,narrow_attempt,ff_attempt,ff_reject,ff_wasted,ff_collision,dyn_sr,dyn_attempt,dyn_reject,dyn_wasted
0,no_memory,1,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
0,no_memory,2,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
0,no_memory,3,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
0,no_memory,4,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
0,no_memory,5,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
0,no_memory,6,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
0,with_memory,1,1.0,1.0,0.4666666666666667,0.5333333333333333,400.0,0.0,1.0,1.0,0.0,0.0
0,with_memory,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,with_memory,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,with_memory,4,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
0,with_memory,5,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
0,with_memory,6,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
1,no_memory,1,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
1,no_memory,2,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
1,no_memory,3,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
1,no_memory,4,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
1,no_memory,5,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
1,no_memory,6,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
1,with_memory,1,1.0,1.0,0.4666666666666667,0.5333333333333333,400.0,0.0,1.0,1.0,0.0,0.0
1,with_memory,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,with_memory,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,with_memory,4,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
1,with_memory,5,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
1,with_memory,6,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
2,no_memory,1,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
2,no_memory,2,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
2,no_memory,3,1.0,1.0,1.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0
2,no_memory,4,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
2,no_memory,5,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
2,no_memory,6,1.0,1.0,1.0,0.0,400.0,0.0,0.9,1.0,0.0,16.0
2,with_memory,1,1.0,1.0,0.4666666666666667,0.5333333333333333,400.0,0.0,1.0,1.0,0.0,0.0
2,with_memory,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2,with_memory,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2,with_memory,4,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
2,with_memory,5,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
2,with_memory,6,1.0,1.0,0.0,1.0,0.0,0.0,0.9,1.0,0.0,16.0
